# gene_name         0h    12h    24h    48h    96h 
ITGA10            47.7   41.5   32.2   16.9    2.8 
PEX11B            45.1   29.4   15.9    3.8    0.2 
RBM8A            132.2  131.8  105.3   67.8   16.4 
CH17-270A2.2      36.3   15.4    5.3    0.4    0.0 
LIX1L             34.0   31.2   23.7   11.4    1.6 
ANKRD34A          50.7   57.0   57.4   52.6   24.9 
POLR3GL           26.4   21.5   14.7    7.4    1.0 
TXNIP             20.9    9.9    4.0    0.6    0.0 
HFE2               3.6    1.7    0.7    0.1    0.0 
NBPF10             2.2    0.8    0.3    0.0    0.0 
RP11-458D21.5      5.2    3.7    2.4    0.7    0.1 
NOTCH2NL          16.8    7.9    3.4    0.6    0.0 
AC243756.1        14.1    4.6    1.2    0.1    0.0 
NBPF12            25.9   30.3   29.6   33.2   17.6 
PRKAB2            71.4   38.1   20.4    4.0    0.1 
FMO5              27.7    8.1    2.2    0.1    0.0 
CHD1L             43.8   52.6   56.2   53.9   31.4 
BCL9              25.9   16.8    8.8    2.3    0.1 
ACP6              27.6   34.2   37.9   39.7   25.5 
GJA5               8.9    4.0    1.5    0.2    0.0 
GJA8              28.6   17.4    9.0    1.8    0.1 
GPR89B           163.8  285.7  462.7  720.5 1475.0 
NBPF11            13.3    5.9    2.6    0.3    0.0 
AC245100.1        49.9   49.1   40.8   21.5    4.6 
PPIAL4G           55.7   62.0   59.0   40.1    9.6 
NBPF14            35.6   52.2   65.1   91.4  105.8 
PDE4DIP          123.1  185.0  238.0  300.3  279.5 
NBPF9              8.5    6.6    5.2    2.2    0.3 
NBPF19            12.9    6.9    2.9    0.5    0.0 
PPIAL4C           28.8   21.5   12.3    3.7    0.2 
FAM231D            4.1    2.2    1.1    0.2    0.0 
FCGR1A            17.6   24.7   26.3   26.8   19.8 
HIST2H2BF        165.1  285.0  422.5  717.6 1073.0 
HIST2H3D          11.4    9.8    7.6    4.2    0.7 
HIST2H4A          23.2   17.6   11.8    3.9    0.3 
HIST2H3C          34.4   50.4   62.6   79.9   91.8 
HIST2H2AA3        70.2   98.8  117.2  137.9  156.2 
HIST2H2AA4        26.2   15.8    9.1    2.7    0.1 
HIST2H3A           8.4    9.1    8.1    5.8    1.4 
HIST2H4B         358.0  404.6  446.6  358.2  129.3 
HIST2H2BE          6.8    4.2    2.0    0.5    0.0 
HIST2H2AC         17.1    9.8    5.3    1.0    0.0 
HIST2H2AB         16.6    7.2    3.4    0.4    0.0 
BOLA1            231.8  180.1  119.4   49.0    4.6 
SV2A              42.8   37.3   27.6   12.7    2.0 
SF3B4             65.5   69.2   73.5   66.5   30.5 
MTMR11            80.0   50.0   31.7    8.5    0.4 
OTUD7B             2.8    0.2    0.0    0.0    0.0 
VPS45             20.3   20.9   19.1   10.2    2.3 
PLEKHO1           21.0   15.8    9.6    3.9    0.2 
ANP32E            80.3   94.3  100.2   96.7   52.9 
CA14              11.1   10.6   11.6    7.7    2.8 
APH1A             22.6   16.9   14.0    6.4    0.7 
C1orf54           26.1   28.7   30.2   21.0    5.8 
CIART             77.4   83.3   69.3   51.1   17.8 
MRPS21           186.5  265.2  308.2  386.5  286.1 
AC242988.1        18.1   18.1   19.4   15.2    6.2 
PRPF3             29.7   40.7   51.5   53.3   35.9 
RPRD2             16.9    9.6    4.3    0.7    0.0 
TARS2              3.9    2.7    1.7    0.5    0.0 
ECM1              11.3    1.9    0.3    0.0    0.0 
ADAMTSL4           4.4    1.6    0.5    0.1    0.0 
MCL1             348.8  551.3  920.6 1831.5 3959.9 
ENSA              16.5   11.8    6.2    1.8    0.1 
GOLPH3L           23.1    8.3    2.4    0.2    0.0 
HORMAD1            8.8   10.6    9.3    6.0    1.9 
CTSS              29.5   34.1   45.0   49.0   35.2 
CTSK               3.4    4.0    4.3    4.0    2.3 
ARNT              39.8   34.0   23.5   10.8    1.2 
RP11-235D19.4     19.7   11.3    6.5    1.6    0.1 
SETDB1             4.1    4.4    4.8    3.4    1.5 
CERS2             24.3    7.0    1.8    0.1    0.0 
ANXA9             52.8   65.1   66.1   54.1   22.1 
FAM63A            57.8   43.0   26.7    9.7    0.7 
PRUNE1            70.7   65.0   58.5   30.7    7.0 
BNIPL              9.2    9.5    8.6    6.4    2.1 
C1orf56          369.0  554.8  637.4  899.8  876.7 
CDC42SE1          38.2   44.4   41.1   32.4   13.1 
MLLT11            12.2    6.9    3.1    0.6    0.0 
GABPB2            82.3   95.6   82.3   56.4   16.4 
SEMA6C            37.4   46.4   41.0   39.4   19.6 
TNFAIP8L2         34.8   12.5    4.4    0.4    0.0 
SCNM1             20.5    8.3    3.0    0.3    0.0 
LYSMD1            22.7   22.5   20.2   13.1    3.7 
TMOD4             82.5   98.9  113.3  101.7   56.4 
VPS72             15.1   12.9   10.3    3.8    0.4 
PIP5K1A            8.8   11.4   10.9   10.2    5.1 
PSMD4            111.5  180.0  192.9  241.0  172.7 
ZNF687            20.3   18.0   14.7    6.7    1.0 
PI4KB              3.9    2.5    1.5    0.4    0.0 
RFX5              57.6   66.4   75.4   73.0   44.4 
SELENBP1          21.1   15.0   10.4    4.2    0.4 
PSMB4              9.8    8.0    6.1    2.3    0.2 
POGZ              45.7   38.6   24.8    9.3    0.8 
CGN               83.8   48.0   26.9    7.0    0.4 
TUFT1             16.0    8.2    3.8    0.6    0.0 
SNX27             18.7   14.6   10.6    6.0    0.6 
CELF3            106.2  107.7   84.2   50.8   11.5 
RIIAD1             9.2    7.0    5.1    2.1    0.2 
MRPL9             16.8    6.6    2.3    0.2    0.0 
OAZ3             103.7   84.9   79.9   40.0    9.7 
TDRKH            177.0  166.8  127.6   68.5   11.4 
LINGO4             3.3    3.6    4.2    3.8    1.9 
RORC               8.5    6.3    4.2    1.5    0.1 
C2CD4D            89.5   96.5   98.2   76.9   31.7 
THEM5              9.0    6.7    5.3    2.3    0.2 
THEM4              2.7    1.6    0.7    0.1    0.0 
S100A10           30.8    1.5    0.1    0.0    0.0 
S100A11           11.6    5.0    2.2    0.3    0.0 
TCHHL1           144.8  243.1  338.0  548.8  959.8 
TCHH              31.8   37.5   37.1   34.9   14.2 
RPTN              16.3   20.7   29.8   41.3   43.2 
HRNR              24.4   18.5   14.6    6.7    0.7 
FLG               64.0   69.5   63.3   45.5   13.5 
FLG2              29.1   31.2   28.2   16.5    3.4 
CRNN             139.4   34.7    9.4    0.4    0.0 
LCE5A             38.2   40.4   29.7   19.9    5.0 
AL135842.1        36.0   31.6   29.9   17.2    3.3 
CRCT1             21.4   15.7    9.6    2.2    0.1 
LCE3E             10.6   10.3    8.5    5.0    1.1 
LCE3D             71.3  107.3  143.7  177.4  165.5 
LCE3C              6.9    4.9    3.3    1.1    0.1 
LCE3B            115.2  123.7  129.1   93.4   40.6 
LCE3A             63.1  106.9  168.4  306.1  591.4 
LCE2D              3.9    0.2    0.0    0.0    0.0 
LCE2C             33.2   35.3   30.0   23.3    7.7 
LCE2B              3.9    1.1    0.3    0.0    0.0 
LCE2A              6.4    2.6    1.1    0.1    0.0 
LCE4A            196.8  108.9   80.5   21.5    1.1 
C1orf68          417.3  500.6  546.3  479.9  242.9 
KPRP              92.7   60.0   39.9   10.0    0.5 
LCE1F             67.2   15.3    3.3    0.1    0.0 
LCE1E             26.0    6.5    1.5    0.1    0.0 
LCE1D            162.3  277.6  357.9  622.0 1212.5 
LCE1C              3.9    0.9    0.2    0.0    0.0 
LCE1B             25.9   22.1   16.0    5.8    0.5 
LCE1A             15.9    7.5    3.1    0.4    0.0 
LCE6A             91.1   77.3   68.9   32.3    6.8 
SMCP               3.2    3.1    2.7    1.8    0.5 
IVL               15.6    8.9    4.4    0.9    0.0 
RP1-20N18.10       6.8    7.3    7.6    4.4    1.3 
SPRR4             26.4   27.1   24.6   17.5    4.9 
SPRR1A            50.1   17.2    4.9    0.4    0.0 
SPRR3             36.0   15.3    6.4    0.8    0.0 
SPRR1B            31.5   14.1    5.1    0.9    0.0 
SPRR2D            13.5    7.5    3.6    0.7    0.0 
SPRR2A            15.2    8.4    4.5    0.9    0.0 
SPRR2B            66.0   44.6   24.7    5.7    0.2 
SPRR2E            40.0   32.9   28.5   15.5    3.2 
SPRR2F             3.6    4.1    4.1    3.2    1.2 
SPRR2G             8.7    2.0    0.4    0.0    0.0 
LELP1             42.1   43.0   37.2   23.7    6.9 
PRR9              38.7   47.9   58.0   56.0   38.6 
LOR               53.7   48.8   44.4   25.8    5.3 
PGLYRP3           41.4   37.7   26.8   15.4    2.1 
PGLYRP4            4.4    3.9    3.1    1.4    0.2 
S100A9             2.4    1.1    0.4    0.1    0.0 
S100A12           42.5   76.1  107.5  190.8  366.9 
S100A8             4.3    4.6    5.7    5.4    2.5 
S100A7A            2.6    1.1    0.4    0.0    0.0 
S100A7L2          69.9   69.7   63.3   40.4    9.1 
S100A7            43.3   56.2   56.2   62.8   31.3 
S100A6            21.3   23.7   20.7   12.7    3.5 
S100A5            49.2    9.2    1.6    0.0    0.0 
S100A4           250.7  297.5  358.4  381.3  238.9 
S100A3             1.8    0.7    0.2    0.0    0.0 
S100A2            25.4   27.8   27.9   23.0    9.2 
S100A16          151.8   66.8   26.2    3.8    0.0 
S100A14           13.3    6.9    3.6    0.7    0.0 
S100A13           56.1   27.1   11.6    1.5    0.0 
S100A1            22.3   25.0   27.5   25.1   15.8 
CHTOP            298.3  251.3  167.4   68.3    6.9 
SNAPIN            14.2    7.6    3.7    0.7    0.0 
ILF2               3.1    2.6    1.8    0.7    0.1 
NPR1             165.1  242.6  332.7  551.3  824.5 
INTS3              6.5    2.9    1.2    0.1    0.0 
AL513523.2        51.4   34.8   21.3    7.3    0.5 
SLC27A3           70.1   75.6   89.9   76.0   38.9 
GATAD2B            1.7    1.3    1.1    0.4    0.0 
DENND4B           65.3   58.9   60.7   32.6    7.7 
CRTC2             12.8   10.1    7.4    3.5    0.4 
SLC39A1           14.1    7.7    3.2    0.5    0.0 
CREB3L4           16.6    0.8    0.0    0.0    0.0 
JTB               29.8    9.2    3.0    0.2    0.0 
RAB13             10.3    7.1    4.6    1.6    0.1 
RPS27             60.4   28.0   11.9    1.8    0.0 
NUP210L           32.5   26.2   15.4    6.0    0.5 
TPM3              76.9   81.4   57.6   33.4    7.4 
C1orf189          18.6   17.0   14.8    9.6    2.3 
C1orf43          145.0  166.8  172.4  151.2   73.3 
UBAP2L            16.3   15.3   14.8    8.2    2.1 
HAX1             143.2  127.0  104.7   69.3   13.7 
AQP10             25.6   15.6    8.4    2.1    0.1 
ATP8B2            16.3   14.8   11.8    6.0    0.9 
IL6R              39.9   41.1   46.0   32.4   14.8 
SHE               38.3   26.2   15.7    3.6    0.1 
TDRD10             8.6    9.8    9.4    6.4    1.8 
UBE2Q1            50.6   33.7   21.7    5.8    0.3 
CHRNB2            20.7   22.4   22.5   16.0    5.6 
ADAR             853.4 1244.5 1729.5 2942.5 4572.6 
KCNN3             24.0   25.7   25.4   18.6    7.4 
PMVK              11.1    6.5    4.3    1.2    0.1 
PBXIP1             9.8    5.6    3.1    0.7    0.0 
PYGO2              7.8    5.7    3.9    1.3    0.1 
SHC1               6.3    5.6    3.9    1.9    0.2 
CKS1B             15.0   12.3    9.4    4.1    0.6 
FLAD1            287.3  224.1  148.8   59.6    6.3 
LENEP             25.5   25.3   23.8   18.2    5.6 
ZBTB7B             6.8    2.6    0.9    0.1    0.0 
DCST2             30.6   27.6   21.8   11.4    1.6 
DCST1            167.4  232.1  344.4  448.3  570.0 
ADAM15             3.2    0.3    0.0    0.0    0.0 
EFNA4             10.8    9.4    8.3    4.9    1.2 
RP11-540D14.8     18.5    3.2    0.5    0.0    0.0 
EFNA3             29.0   35.4   33.8   30.2   13.5 
EFNA1             71.9  107.9  160.7  249.8  353.3 
SLC50A1            6.6    4.7    3.0    0.9    0.1 
DPM3              12.0    4.5    1.9    0.2    0.0 
KRTCAP2           53.5   75.4  109.4  176.0  237.1 
RP11-201K10.3      9.0    8.4    6.9    4.6    1.1 
TRIM46            38.8   36.2   23.0   10.6    1.3 
MUC1              14.8   13.0    9.2    4.8    0.9 
AC234582.2        44.8   51.1   48.4   52.8   24.9 
AC234582.1        19.8   20.8   17.6   12.4    2.8 
THBS3             72.5   41.0   23.0    4.3    0.1 
MTX1              28.0   35.2   34.9   37.1   19.9 
GBA               30.6   31.8   27.0   14.6    3.6 
FAM189B           45.7   74.3  113.1  169.9  232.8 
SCAMP3            78.1  118.5  129.8  149.7  119.9 
CLK2              94.9   60.5   44.1   12.5    0.7 
HCN3              13.3   13.3   12.5    7.5    1.9 
PKLR              84.5   56.2   33.8    9.5    0.4 
FDPS              23.0   21.3   17.7    9.5    1.7 
RUSC1            273.5  425.8  446.8  491.6  481.5 
ASH1L             36.4   30.4   22.2    7.6    0.8 
MSTO1             79.7  109.3  122.5  158.3  127.9 
YY1AP1           588.4  721.3  687.7  673.5  287.2 
DAP3              16.8   20.8   21.3   20.9   11.2 
GON4L              7.1    8.5    8.7    9.3    5.2 
SYT11             23.1   30.1   30.5   25.8   13.4 
RIT1              46.0   62.0   72.9  105.2  103.8 
KIAA0907           9.5    4.1    1.8    0.3    0.0 
RXFP4            121.0  138.2  116.6   89.0   27.9 
ARHGEF2          109.0  148.3  172.7  171.2  120.8 
SSR2              17.7   11.8    6.9    1.8    0.1 
UBQLN4            72.3   58.2   40.9   17.4    2.1 
LAMTOR2           15.4   11.6    6.8    2.3    0.1 
RAB25             18.9   26.1   29.6   41.6   36.9 
MEX3A             70.9   62.3   52.1   29.1    5.1 
LMNA             187.6  222.4  187.5  147.9   58.6 
SEMA4A            61.9   52.0   33.0   12.7    1.2 
SLC25A44          28.1    8.9    2.4    0.2    0.0 
PMF1-BGLAP        20.7   19.7   15.8    8.3    1.1 
PMF1              33.2   19.9   11.8    3.2    0.1 
BGLAP              2.4    3.1    2.9    2.8    1.7 
PAQR6             28.9   20.6   10.5    2.8    0.1 
SMG5              10.8    7.7    4.6    1.4    0.1 
TMEM79            77.8   38.8   19.6    3.3    0.1 
GLMP              86.6  121.3  131.7  151.4  134.4 
VHLL              29.1   32.4   35.1   29.0   12.8 
CCT3               7.4    3.8    1.5    0.2    0.0 
TSACC             12.5    2.6    0.5    0.0    0.0 
RHBG              69.9  117.5  150.8  275.5  406.0 
C1orf61           19.3   10.4    5.7    1.0    0.0 
MEF2D             35.3   48.1   60.2   85.2   87.1 
IQGAP3            28.9   39.5   47.9   63.9   66.3 
TTC24             22.2   16.3   11.1    4.7    0.5 
NAXE              10.0    1.9    0.3    0.0    0.0 
GPATCH4           40.2   26.7   16.6    4.4    0.3 
AL365181.1        11.8    7.4    2.9    0.5    0.0 
HAPLN2            27.8   10.7    4.1    0.5    0.0 
BCAN              20.1   21.9   21.1   16.8    5.7 
NES                8.4    9.4    9.6    7.2    3.2 
CRABP2             3.2    0.9    0.2    0.0    0.0 
ISG20L2          174.7  152.9  128.6   71.9   12.3 
RRNAD1            11.3   11.8    9.7    6.0    1.7 
MRPL24            50.2   40.6   27.0    9.6    0.8 
HDGF              41.9   23.5   13.3    2.7    0.1 
PRCC             384.4  657.5  839.2 1328.7 1918.9 
SH2D2A             6.3    4.8    2.7    1.0    0.1 
NTRK1              2.1    0.8    0.3    0.0    0.0 
INSRR             29.1    7.6    1.6    0.1    0.0 
PEAR1             11.7   11.1    6.8    3.0    0.3 
LRRC71             6.6    2.3    0.6    0.0    0.0 
ARHGEF11          19.6   17.8   15.3    9.4    2.1 
ETV3L             15.7    8.2    3.9    0.6    0.0 
ETV3              11.7    7.0    3.7    0.9    0.0 
FCRL5             93.0   83.8   66.4   30.2    5.2 
FCRL4            105.6  137.6  178.7  194.0  179.5 
FCRL3              5.5    3.7    2.5    0.8    0.1 
FCRL2             23.9   20.0   13.5    4.6    0.4 
FCRL1             32.1   37.0   32.6   21.4    5.5 
CD5L              17.5   14.5   11.6    5.6    1.1 
KIRREL           138.0  123.5  100.7   56.3    9.2 
CD1D             115.8  151.6  184.9  213.0  155.9 
CD1A               1.1    0.7    0.4    0.1    0.0 
CD1C              10.4    5.5    2.4    0.3    0.0 
CD1B               6.5    9.0    9.3   11.3    7.9 
CD1E               3.8    2.1    0.9    0.2    0.0 
OR10T2           427.9  544.8  495.4  387.4  188.5 
OR10K2            28.6   38.5   43.4   44.8   36.1 
OR10K1            47.4   67.2   90.1  101.8  117.4 
OR10R2            30.3   16.5    7.0    1.6    0.0 
OR6Y1             19.3   14.9   10.2    4.1    0.3 
OR6P1             19.5   18.0   17.4   10.1    2.3 
OR10Z1             7.7    4.5    2.4    0.6    0.0 
SPTA1             47.8   32.3   21.0    7.0    0.4 
OR6K2             10.9   11.8   11.0    7.3    2.3 
OR6K3             99.8   88.1   67.6   35.5    6.1 
OR6K6             27.4   19.1   11.8    3.5    0.2 
OR6N1             70.8   70.3   57.2   34.6    7.9 
OR6N2            129.5  193.6  242.0  355.8  484.0 
MNDA             265.9  107.2   39.3    4.0    0.0 
PYHIN1            78.0   63.7   38.6   11.9    0.6 
IFI16             80.0   79.2   57.8   33.7    5.0 
AIM2               7.0    2.8    0.9    0.1    0.0 
CADM3             43.4   34.3   24.6   10.0    0.9 
ACKR1              6.3    2.8    1.1    0.2    0.0 
FCER1A             7.3    4.5    2.3    0.7    0.0 
OR10J3           189.6  298.0  348.1  558.6  608.0 
OR10J1            36.7   23.0   12.5    3.3    0.1 
OR10J5            45.9   58.0   66.2   67.7   45.9 
APCS              96.7   54.9   24.8    5.0    0.1 
CRP                4.9    2.2    0.9    0.1    0.0 
DUSP23             8.6    5.2    3.0    0.8    0.0 
FCRL6             21.2   21.9   20.1   13.3    3.8 
SLAMF8           124.5  201.4  278.3  380.1  497.3 
C1orf204          14.2    1.5    0.2    0.0    0.0 
VSIG8             88.9  149.0  200.0  294.3  318.1 
RP11-190A12.7     25.6   23.5   19.9   10.2    2.1 
CFAP45            87.4   75.4   65.6   42.6    9.9 
TAGLN2            59.3   39.4   28.0    6.9    0.4 
IGSF9             57.7   40.1   25.0    7.4    0.5 
SLAMF9            28.7   10.8    2.7    0.2    0.0 
KCNJ10            41.5   44.6   50.1   42.7   18.6 
PIGM              12.0    7.9    3.6    1.1    0.0 
KCNJ9              2.5    2.9    2.8    2.4    1.0 
IGSF8             19.4   13.4    8.0    2.3    0.1 
ATP1A2            15.2   16.3   19.1   16.3    9.4 
ATP1A4            13.7   10.2    5.0    1.2    0.0 
CASQ1            413.2  561.5  800.2 1162.9 1262.2 
PEA15            126.7  126.6  111.3   63.0   15.3 
DCAF8              3.1    2.9    2.4    1.2    0.2 
RP11-574F21.3     16.1    6.3    2.5    0.2    0.0 
PEX19             34.1   13.3    5.9    0.7    0.0 
COPA              42.4   21.4   10.9    2.0    0.0 
NCSTN             86.4   92.4   84.6   55.7   16.3 
NHLH1              5.0    2.8    1.3    0.3    0.0 
VANGL2            59.5   50.2   31.5    9.5    0.7 
SLAMF6            58.5   94.5  148.1  287.0  634.6 
CD84              30.4   22.5   13.9    5.7    0.4 
SLAMF1             4.1    3.7    3.2    1.7    0.2 
CD48              15.6    8.9    4.1    0.7    0.0 
SLAMF7             5.6    7.8    9.6   12.9   11.3 
LY9                5.1    4.1    3.8    2.0    0.3 
CD244             40.3   29.5   17.4    5.9    0.3 
ITLN1             13.0   13.9   13.4    8.7    2.0 
ITLN2             24.5   20.8   12.1    4.3    0.4 
F11R              16.9   27.4   31.5   42.8   41.1 
RP11-544M22.13    29.9   45.5   64.7  100.4  131.2 
TSTD1              8.8   10.7   12.1   10.6    7.1 
USF1             113.3  144.8  148.5  135.1   68.3 
ARHGAP30          33.0   33.9   33.3   21.9    7.0 
AL591806.1        11.2    8.2    4.9    1.6    0.1 
NECTIN4          143.2  176.6  177.5  201.6  100.5 
KLHDC9            61.4   40.8   25.6    7.6    0.4 
PFDN2             30.6   25.6   17.1    7.9    0.9 
NIT1              12.8    8.4    5.0    1.3    0.0 
DEDD              11.4    9.6    8.0    5.3    1.1 
UFC1               7.4    5.2    3.3    1.6    0.1 
USP21             30.7   29.6   20.8   11.0    1.6 
PPOX             302.6  353.5  380.9  296.0  113.2 
B4GALT3           18.0    4.8    1.1    0.1    0.0 
ADAMTS4           37.7   18.2    7.8    1.2    0.0 
NDUFS2            18.2   11.1    5.4    1.3    0.0 
FCER1G            13.1   11.1    9.5    4.9    0.8 
APOA2              8.6    1.7    0.3    0.0    0.0 
TOMM40L            6.8    8.3    7.4    5.6    1.9 
NR1I3              8.9    9.1    8.8    6.5    1.8 
PCP4L1            18.3   22.6   18.8   14.2    4.9 
MPZ              116.8  158.9  148.1  141.6   70.6 
SDHC              17.7   20.3   17.2   11.9    3.1 
CFAP126           22.0   21.0   19.0   12.7    3.1 
FCGR2A            34.3   35.0   33.3   23.5    6.9 
HSPA6              9.2    4.7    2.4    0.5    0.0 
FCGR3A            14.1    8.7    4.2    1.1    0.0 
FCGR3B            79.9   83.2   97.1  101.2   62.6 
FCGR2B            32.3   21.8   13.7    3.8    0.2 
FCRLA              5.7    2.8    1.1    0.1    0.0 
FCRLB              4.8    1.3    0.3    0.0    0.0 
DUSP12            40.0   19.6    9.0    1.5    0.0 
ATF6             287.5  450.8  602.1  951.1 1201.8 
OLFML2B           18.7   18.1   16.0   10.7    3.5 
NOS1AP             1.7    0.5    0.1    0.0    0.0 
RP11-565P22.6     20.8   24.1   21.8   20.4    8.4 
C1orf226         320.5  151.2   61.9    8.4    0.1 
C1orf111          18.6    4.3    0.8    0.0    0.0 
SH2D1B             8.3    7.7    5.9    3.4    0.6 
UHMK1             41.0   42.1   38.7   35.4   11.5 
UAP1              14.2   13.5   10.8    7.1    1.6 
DDR2              41.0   45.4   52.6   41.8   19.1 
HSD17B7           54.0   50.7   31.7   13.4    1.7 
CCDC190           20.2    7.8    2.5    0.2    0.0 
RGS4               1.7    1.7    1.2    0.6    0.1 
RGS5              18.9   30.8   36.9   52.4   58.7 
NUF2              11.4    8.9    5.7    2.5    0.2 
PBX1             848.3 1279.1 1485.1 2250.7 2380.2 
LMX1A             77.0   82.4   87.6   77.2   36.8 
RXRG              24.5   18.9   14.4    7.0    0.8 
LRRC52             2.1    0.5    0.1    0.0    0.0 
MGST3             47.9   44.1   41.0   23.8    5.9 
ALDH9A1           72.5   24.9    5.9    0.4    0.0 
TMCO1            102.8   62.3   32.9    8.7    0.3 
UCK2              25.6   23.5   16.8    7.3    1.0 
FAM78B            15.2   11.4    8.2    3.8    0.4 
POGK              14.5   11.8    7.3    3.3    0.3 
TADA1             22.3   18.4   14.5    7.8    1.1 
ILDR2             28.7   34.5   36.3   28.9   11.1 
MAEL              14.5   11.0    7.4    3.2    0.4 
GPA33             19.0   10.0    4.5    0.8    0.0 
DUSP27            94.7   88.1   70.6   49.7    9.3 
POU2F1            45.1   61.2   55.2   49.2   21.8 
CD247             25.9   24.5   22.1   11.7    2.8 
CREG1              8.0    2.5    0.8    0.1    0.0 
RCSD1             19.9   16.1   12.6    5.3    0.6 
MPZL1             22.9   32.5   42.4   61.6   82.7 
ADCY10            32.9   17.7   10.9    2.7    0.1 
MPC2              51.7   56.5   59.9   52.5   19.0 
DCAF6             34.4   41.5   49.1   34.7   15.6 
GPR161             5.6    3.6    2.1    0.5    0.0 
TIPRL             30.1   23.6   17.1    6.9    0.8 
SFT2D2            99.8   81.5   66.5   28.4    4.5 
TBX19             17.3   16.4   16.0   11.0    3.2 
XCL2             638.8  629.3  592.2  346.9   72.2 
XCL1              45.4   39.4   32.3   18.2    3.8 
DPT                7.7    3.3    1.2    0.1    0.0 
ATP1B1            93.3  128.8  140.8  139.1   91.8 
NME7              83.9  115.1  113.8  133.3   97.2 
BLZF1             13.2    9.1    6.5    2.1    0.2 
CCDC181          139.4  196.3  234.7  299.4  276.1 
SLC19A2           75.8   72.5   61.2   40.5   10.0 
F5                44.1   75.2  109.9  190.8  379.6 
SELP              22.2   15.4    9.8    3.9    0.3 
C1orf112           6.6    4.9    3.1    1.0    0.1 
SELL              41.5   42.3   40.6   27.8    9.9 
SELE             100.1  120.2  121.5  128.4   67.1 
METTL18           17.2   25.5   39.9   51.3   64.4 
SCYL3             48.9   11.2    2.2    0.1    0.0 
KIFAP3            37.5   21.0   11.0    2.6    0.1 
METTL11B           5.0    5.4    5.2    3.1    0.8 
GORAB             10.7    5.6    2.8    0.5    0.0 
PRRX1             16.4   15.5   12.1    6.0    0.9 
MROH9             20.8   10.0    4.5    0.6    0.0 
FMO3              27.8   26.6   18.0    8.4    0.9 
FMO2              32.6   36.0   33.1   29.6   11.3 
FMO1               4.9    3.1    1.9    0.6    0.0 
FMO4              16.2   15.0   12.7    8.3    1.6 
PRRC2C            25.6   19.0   15.8    6.5    0.9 
RP3-454G6.2       36.6   24.4   17.4    6.4    0.4 
MYOC              33.4    5.6    0.8    0.0    0.0 
VAMP4              6.0    6.1    6.0    4.2    1.6 
METTL13           20.5    8.1    3.1    0.3    0.0 
DNM3               2.9    2.2    1.2    0.3    0.0 
PIGC              49.6   51.7   48.2   33.3   10.6 
C1orf105          54.6   55.1   58.0   39.0   10.3 
SUCO             147.3  162.0  151.1  103.9   35.9 
FASLG             61.2   82.7   85.2   82.3   50.0 
TNFSF18           10.7    7.1    4.7    1.3    0.1 
TNFSF4             9.8    6.1    3.3    0.9    0.0 
PRDX6             53.6   32.5   14.6    2.8    0.1 
SLC9C2            21.8   15.3    9.3    2.7    0.2 
ANKRD45            9.7    9.2    7.2    3.9    0.6 
RP11-360D2.1      13.9   12.7   10.4    6.0    1.2 
KLHL20           104.7   91.2   84.7   60.0   20.4 
CENPL             69.9   26.5    8.7    0.6    0.0 
DARS2              7.5    4.5    2.4    0.6    0.0 
ZBTB37            12.7    3.3    0.8    0.0    0.0 
SERPINC1          13.1   11.5    8.6    4.3    0.7 
RC3H1             41.5   22.7   10.7    2.6    0.1 
RABGAP1L          78.8   51.1   27.7    6.0    0.2 
GPR52            128.2  148.6  123.5   77.0   16.6 
CACYBP             7.8   10.1    9.6    9.5    4.3 
MRPS14            45.0   51.0   49.3   40.4   15.3 
TNN               37.7   51.4   57.0   61.9   45.0 
KIAA0040          34.8   21.7   13.0    3.8    0.2 
TNR               19.2   16.6   10.5    3.6    0.4 
RFWD2              8.8    2.0    0.5    0.0    0.0 
PAPPA2            36.3   17.7    6.0    0.8    0.0 
ASTN1             20.0   14.7   12.1    6.7    1.0 
BRINP2            51.1   40.8   39.5   23.6    5.0 
SEC16B            42.0   29.5   20.1    7.6    0.6 
RASAL2            62.7   58.8   53.5   33.9    9.3 
LINC00083         23.7   28.8   27.6   22.6    8.0 
TEX35              7.2    3.9    2.3    0.5    0.0 
RALGPS2           90.4   53.0   27.3    4.2    0.1 
ANGPTL1           13.4   10.0    6.7    2.3    0.2 
FAM20B            97.8  107.3  104.1   69.4   21.0 
TOR3A             48.3   51.9   46.0   33.7   10.2 
ABL2              25.6   19.6   15.6    7.0    0.9 
SOAT1              8.9    1.2    0.1    0.0    0.0 
AXDND1             5.3    6.1    6.5    7.5    5.8 
NPHS2            126.8  126.2  117.3   72.9   17.8 
TDRD5             11.0    5.4    2.4    0.3    0.0 
FAM163A            4.9    5.1    3.8    1.9    0.3 
TOR1AIP2         107.1   94.6   76.1   41.0    5.8 
TOR1AIP1          14.5   10.6    6.2    2.0    0.1 
CEP350            35.6   51.3   76.0  131.2  186.2 
QSOX1              6.3    2.8    1.1    0.1    0.0 
LHX4              23.2   43.9   48.5   80.2  118.7 
ACBD6             44.8   42.5   39.8   21.1    4.5 
XPR1              39.7   53.6   62.7   61.2   44.4 
KIAA1614        1113.2 1515.8 1787.7 2235.8 2189.4 
STX6               8.2    3.2    1.1    0.1    0.0 
MR1               37.8   29.3   23.0   10.5    1.3 
IER5               8.8    5.7    3.2    0.8    0.0 
CACNA1E           25.5    8.4    3.0    0.2    0.0 
