#gene	sample4	sample5	sample6
RBM46	1273	1127	1116
NPY2R	7982	6896	6497
MAP9	3209	6174	6052
GUCY1A3	2633	3460	1872
GUCY1B3	193	109	141
ASIC5	49	112	43
TDO2	142	61	76
CTSO	4460	8653	5719
PDGFC	4366	2547	2367
GLRB	2634	3136	3056
GRIA2	1072	984	319
FAM198B	6003	6130	2662
TMEM144	18	10	11
RXFP1	11041	8052	7652
C4orf46	4957	7396	6814
ETFDH	630	758	413
PPID	2659	3005	2899
FNIP2	8011	5548	4751
C4orf45	1651	3333	1261
RAPGEF2	2220	3155	2104
FSTL5	6948	5131	4390
NAF1	4629	5291	3093
NPY1R	1342	1287	1382
NPY5R	846	978	482
TKTL2	324	646	1956
TMA16	1696	3050	2464
MARCH1	752	483	1159
LINC01207	834	1366	1023
APELA	241	87	185
TRIM61	2830	2361	2489
FAM218A	338	622	620
TRIM60	0	6	2
TMEM192	3382	4012	4551
KLHL2	1003	662	657
RP11-668G10.2	8334	5065	3454
MSMO1	5654	3082	3576
CPE	1603	554	1154
TLL1	4505	3241	3174
SPOCK3	8309	6833	12985
ANXA10	558	572	471
DDX60	2009	1097	3835
DDX60L	17755	7212	4705
PALLD	109	156	82
CBR4	804	795	1519
SH3RF1	4755	3378	5837
NEK1	3842	3859	4243
CLCN3	1156	826	965
HPF1	1265	3845	2807
MFAP3L	8610	12205	12744
AADAT	5085	4592	3170
GALNTL6	12944	6889	11594
GALNT7	600	401	622
HMGB2	4832	6651	5339
SAP30	577	1003	520
SCRG1	2556	4719	2535
HAND2	7180	5998	3452
FBXO8	863	456	473
CEP44	93	128	114
HPGD	12461	3160	12617
GLRA3	1728	3510	2026
ADAM29	2153	3276	2040
GPM6A	799	735	536
WDR17	2686	2604	3277
SPATA4	2489	2042	2834
ASB5	1727	3772	2533
SPCS3	6608	4437	5719
VEGFC	489	300	811
NEIL3	1683	1951	1526
AGA	650	1095	466
TENM3	1940	6508	4605
DCTD	2378	1162	3408
WWC2	967	2867	849
CLDN22	4879	7585	12288
CLDN24	263	241	462
CDKN2AIP	119	111	69
ING2	6489	4397	5689
RWDD4	16593	15393	19827
TRAPPC11	2490	1054	1522
STOX2	475	729	450
ENPP6	2749	3149	1278
IRF2	301	139	344
CASP3	3222	1372	2028
PRIMPOL	4738	3090	1014
CENPU	3102	2349	3005
ACSL1	1276	1469	2590
HELT	3520	2636	3262
SLC25A4	4241	5704	4211
CFAP97	3078	3091	3421
SNX25	2195	8101	7317
LRP2BP	721	1614	1107
ANKRD37	3278	1983	1788
UFSP2	270	632	377
C4orf47	622	570	574
CCDC110	3915	5181	6886
PDLIM3	3032	4826	1882
SORBS2	3516	3221	7495
TLR3	865	559	624
FAM149A	1669	2480	1432
CYP4V2	5687	6862	9367
KLKB1	147	224	114
F11	4188	5831	8229
RP11-215A19.2	1466	3221	2603
MTNR1A	4405	2637	3223
FAT1	3822	6170	6122
ZFP42	1683	3003	3349
TRIML2	9624	7291	11587
TRIML1	7811	3589	4887
FRG1	1068	1582	783
FRG2	2446	1841	2805
DUX4	5236	3422	6077
PLEKHG4B	2082	1034	2373
LRRC14B	1438	1792	1180
CCDC127	946	2965	2303
SDHA	7379	7722	12069
PDCD6	417	304	295
AHRR	18207	20362	9038
EXOC3	65	64	46
SLC9A3	85	127	324
CEP72	374	183	374
TPPP	613	299	252
ZDHHC11B	11583	5440	4880
ZDHHC11	5778	3499	5401
BRD9	2494	1424	1142
TRIP13	1248	4958	2921
NKD2	2694	5566	6173
SLC12A7	3060	2634	1367
SLC6A19	1480	1964	572
SLC6A18	1877	2934	3401
TERT	7834	9629	10015
CLPTM1L	703	1342	2210
SLC6A3	761	584	489
LPCAT1	213	223	167
MRPL36	3618	3615	3292
NDUFS6	729	685	551
IRX4	6783	12370	14292
IRX2	1116	2579	964
C5orf38	526	1372	1159
IRX1	942	337	689
ADAMTS16	7295	5328	5614
ICE1	5974	3878	4678
MED10	1527	958	2122
UBE2QL1	1738	2871	1134
NSUN2	1082	1235	590
SRD5A1	4	7	4
PAPD7	374	225	288
ADCY2	285	47	102
C5orf49	5498	7054	8747
MTRR	2329	5692	5045
FASTKD3	986	2030	979
SEMA5A	1443	3252	1766
TAS2R1	5087	4904	9269
FAM173B	1863	1933	1260
CCT5	1035	554	1190
CMBL	13824	8833	10925
MARCH6	1097	1302	1116
ROPN1L	584	554	971
ANKRD33B	645	730	903
DAP	6514	2484	3773
CTNND2	307	727	579
DNAH5	766	261	758
TRIO	11388	4796	13195
AC016549.1	63	100	22
FAM105A	220	203	209
OTULIN	224	161	206
ANKH	1563	1344	3314
FBXL7	3417	2821	4363
MARCH11	11660	7595	5855
ZNF622	2094	1697	2022
FAM134B	476	885	582
MYO10	2571	5111	5405
BASP1	733	566	227
CDH18	2654	2474	1661
CDH12	352	2277	1142
PRDM9	245	806	500
CDH10	51	54	25
CDH9	1420	3158	1198
CDH6	2927	2136	3929
DROSHA	3487	4318	4639
C5orf22	4036	4441	3254
PDZD2	12445	5686	4066
GOLPH3	657	345	370
MTMR12	1955	782	1133
ZFR	2232	2588	1980
SUB1	2381	3419	2565
NPR3	2600	1280	1373
TARS	347	668	576
ADAMTS12	1681	4727	3426
RXFP3	560	497	655
SLC45A2	622	352	1317
AMACR	2656	3517	1657
C1QTNF3-AMACR	5016	7536	3532
C1QTNF3	1072	1377	1468
RAI14	2874	3899	4583
TTC23L	92	119	95
RAD1	613	1511	1772
BRIX1	2118	1052	1916
DNAJC21	7952	2550	5440
AGXT2	1192	2106	3028
PRLR	4038	2780	5319
SPEF2	416	296	306
IL7R	14590	11797	41341
CAPSL	910	1147	401
UGT3A1	345	104	315
UGT3A2	4472	5605	4330
LMBRD2	2739	5551	4050
SKP2	860	881	915
NADK2	215	187	420
RANBP3L	1537	2515	1877
SLC1A3	460	861	1380
NIPBL	1556	1286	845
C5orf42	5719	13577	8498
NUP155	2925	3567	3555
WDR70	5191	2176	5433
GDNF	1090	1160	1982
EGFLAM	6549	4868	9926
LIFR	4070	3730	7819
OSMR	1284	1479	2319
RICTOR	97	117	96
FYB	445	2659	2248
C9	3511	1485	1371
DAB2	10544	6335	10080
TTC33	92	90	122
PTGER4	11049	6323	3165
PRKAA1	2261	2591	5490
AC008810.1	4971	2036	3221
RPL37	3729	1436	1656
CARD6	1755	2015	2219
C7	1576	2456	2767
MROH2B	2721	5957	2879
C6	2270	4146	11313
PLCXD3	4374	1345	3089
OXCT1	837	337	309
C5orf51	3350	3227	3466
FBXO4	2867	1032	1781
GHR	8541	5806	8554
CCDC152	5935	12749	7396
SEPP1	3702	7501	3722
ANXA2R	993	1540	1126
ZNF131	1021	3022	3358
NIM1K	777	728	551
HMGCS1	528	526	492
CCL28	1071	856	611
TMEM267	4551	1838	4933
C5orf34	365	1433	460
PAIP1	1409	2113	2179
NNT	699	738	697
FGF10	1022	845	528
MRPS30	10283	5444	6338
HCN1	536	368	348
EMB	3241	2795	2347
PARP8	863	657	906
ISL1	732	535	441
ITGA1	80	55	38
PELO	1380	1358	3219
ITGA2	3677	3521	3283
MOCS2	703	630	921
FST	6138	4536	7190
NDUFS4	4163	4225	3335
ARL15	3794	3152	5410
HSPB3	218	397	566
SNX18	294	200	358
ESM1	5095	12560	16243
GZMK	889	1657	2199
GZMA	5917	4233	9880
CDC20B	2188	1476	2591
GPX8	5720	2224	1837
MCIDAS	1560	1015	2869
CCNO	30	53	30
DHX29	831	996	949
SKIV2L2	3899	2027	1512
PLPP1	16593	9468	14383
SLC38A9	589	913	899
DDX4	8902	4581	9038
IL31RA	2410	3395	2965
AC008914.1	33	31	37
IL6ST	12996	4822	13555
ANKRD55	2078	1593	1366
C5orf67	3675	8307	6856
MAP3K1	232	292	439
SETD9	9	10	34
MIER3	252	324	508
GPBP1	702	390	634
ACTBL2	5559	2129	4055
PLK2	1882	732	2588
GAPT	3218	1462	2048
RAB3C	777	1461	2688
PDE4D	22480	15545	7545
AC109486.1	310	539	335
DEPDC1B	354	939	726
ELOVL7	2503	2733	1849
ERCC8	223	188	204
NDUFAF2	3073	3464	9164
SMIM15	2535	3018	3998
ZSWIM6	5271	5921	5336
KIF2A	1648	2102	890
DIMT1	1578	2577	2410
IPO11	1573	3272	1110
LRRC70	13216	7654	12289
HTR1A	1863	1801	1745
RNF180	723	357	206
RGS7BP	11557	8259	9248
FAM159B	3758	3150	2136
SREK1IP1	5337	5511	14034
CWC27	2274	5175	8266
ADAMTS6	34	48	36
CENPK	1721	2583	1201
PPWD1	308	53	146
TRIM23	1303	1692	1378
TRAPPC13	13518	8629	20403
CTC-534A2.2	1655	424	717
SGTB	14139	6464	8436
NLN	682	597	759
ERBIN	3549	7529	9791
SREK1	761	1381	1304
MAST4	93	32	60
CD180	768	1338	1432
PIK3R1	4706	6172	1556
SLC30A5	3153	2411	4159
CCNB1	1256	743	1169
CENPH	3186	3088	4800
MRPS36	2473	1031	2367
CDK7	1441	4529	3416
CCDC125	3356	2865	2484
AK6	512	644	481
TAF9	13478	20604	15237
RAD17	605	556	554
MARVELD2	5411	9269	8125
OCLN	3966	9355	3589
GTF2H2C	9827	3866	6002
SERF1B	5574	823	1199
SMN2	351	775	404
SERF1A	475	913	566
SMN1	9071	6240	10098
NAIP	2507	3192	2348
GTF2H2	38	49	30
BDP1	1402	926	3195
MCCC2	980	1922	266
CARTPT	4981	5192	5692
MAP1B	4183	1985	808
MRPS27	3822	2446	5387
PTCD2	86	235	137
ZNF366	2167	2750	1167
TNPO1	5151	2257	5827
FCHO2	4888	2828	3423
TMEM171	1689	3465	3174
TMEM174	1714	915	913
FOXD1	2830	1206	835
BTF3	1609	1121	896
ANKRA2	238	201	135
UTP15	413	462	975
ARHGEF28	1050	703	1139
ENC1	2026	1544	2365
HEXB	1809	429	1621
GFM2	3757	4153	3394
NSA2	5184	6875	2645
FAM169A	2833	1414	1057
GCNT4	1127	2495	679
ANKRD31	772	1937	2440
HMGCR	220	201	240
COL4A3BP	3122	6118	6381
POLK	6374	15784	9923
ANKDD1B	5499	6511	2785
POC5	856	1206	1216
SV2C	3338	3200	1788
AC113404.1	578	778	1656
IQGAP2	1308	1600	1279
F2RL2	1630	3338	2251
F2R	11053	6066	8931
F2RL1	3895	2345	1643
S100Z	6455	2798	3182
CRHBP	2600	1361	3274
AGGF1	3803	3995	5399
ZBED3	7725	10029	3874
PDE8B	13252	13394	13210
WDR41	8359	9098	6501
OTP	5841	3315	10442
TBCA	4140	3120	2457
AP3B1	332	164	484
SCAMP1	262	276	140
LHFPL2	2188	6795	2220
ARSB	8226	11861	6929
DMGDH	2110	3118	1997
BHMT2	6974	7671	5752
BHMT	3302	4166	2176
JMY	3703	4997	8148
HOMER1	3620	1918	2053
PAPD4	98	77	91
CMYA5	1306	4530	4937
MTX3	1579	538	1555
THBS4	336	233	617
SERINC5	339	310	422
SPZ1	837	1420	1246
ZFYVE16	2382	2844	2808
FAM151B	571	301	203
ANKRD34B	556	349	540
DHFR	1995	2013	1400
MSH3	7402	6939	8355
RASGRF2	729	1275	674
CKMT2	2961	2958	2894
ZCCHC9	1083	1844	1449
ACOT12	8878	5516	5996
SSBP2	487	1200	2655
ATG10	3752	5606	2339
RPS23	3874	4474	5668
ATP6AP1L	196	281	273
TMEM167A	3330	2174	3275
XRCC4	602	998	1221
VCAN	2254	2988	3797
HAPLN1	176	339	273
EDIL3	4892	5954	4455
COX7C	730	1094	1679
RASA1	88	392	469
CCNH	743	1220	333
TMEM161B	2956	5998	3198
MEF2C	5826	1585	1895
CETN3	426	389	486
MBLAC2	1374	2168	1972
POLR3G	937	321	275
LYSMD3	16770	5903	11289
ADGRV1	3639	4030	1996
ARRDC3	4716	6179	1226
NR2F1	2004	1699	1949
FAM172A	1319	2295	852
POU5F2	1429	1631	2401
KIAA0825	733	729	380
SLF1	6424	5638	4455
MCTP1	2601	546	2008
FAM81B	7282	3249	4218
TTC37	8671	4368	5129
ARSK	4040	4133	3533
GPR150	4806	3048	1514
RFESD	3729	1083	2091
SPATA9	444	1003	532
RHOBTB3	4180	5190	2757
GLRX	5769	8103	12038
ELL2	2314	1373	1235
PCSK1	657	276	939
CAST	3057	3860	2016
ERAP1	3580	1964	796
ERAP2	2507	967	2071
LNPEP	1370	891	1101
LIX1	664	4359	1554
RIOK2	2516	2674	2217
RGMB	2451	2765	4227
AC008522.1	3675	5773	4787
CHD1	4283	3887	2994
FAM174A	1552	2123	2739
ST8SIA4	8065	3937	2587
SLCO4C1	2914	3343	2056
SLCO6A1	1245	1097	1260
PAM	3075	9542	2499
GIN1	2000	6526	4758
PPIP5K2	7008	2618	3442
C5orf30	6596	4327	3010
NUDT12	1546	946	791
EFNA5	6105	2860	4166
FBXL17	7289	3058	2284
FER	5112	4083	6578
PJA2	1380	2344	2792
MAN2A1	330	168	243
TMEM232	419	387	373
SLC25A46	165	165	122
TSLP	4651	5474	4474
WDR36	1231	1094	399
CAMK4	155	150	128
STARD4	119	226	198
NREP	1033	1411	505
EPB41L4A	73	101	36
APC	6742	10969	4875
CTC-554D6.1	1451	1559	2347
CTC-487M23.8	362	1209	878
SRP19	222	196	497
REEP5	3021	4126	2567
ZRSR1	109	50	80
DCP2	582	2053	1049
MCC	1948	1548	1219
TSSK1B	6105	7785	3374
YTHDC2	3075	3742	2602
KCNN2	654	310	849
TRIM36	1169	1723	877
PGGT1B	2036	1749	1710
CCDC112	6707	4173	3500
FEM1C	4155	6637	5210
TMED7-TICAM2	416	228	284
TICAM2	2279	3141	2881
TMED7	714	1617	1437
CDO1	2456	5755	1636
ATG12	1073	1223	1146
AP3S1	2735	2111	1504
AC026449.1	640	808	1812
LVRN	2869	2259	4383
CTD-2287O16.3	1636	893	3711
ARL14EPL	4418	3391	5057
COMMD10	890	960	930
SEMA6A	2369	3394	4367
DTWD2	168	228	100
DMXL1	3716	3214	3035
TNFAIP8	1523	3750	3038
HSD17B4	2910	3665	2042
FAM170A	9461	9764	9833
PRR16	1065	856	822
FTMT	1634	788	2004
SRFBP1	3350	6374	8100
LOX	426	833	532
ZNF474	633	386	469
CTC-441N14.4	8179	4084	3721
SNCAIP	2768	2174	4599
SNX2	834	375	1049
SNX24	1588	924	655
PPIC	4891	1810	3726
PRDM6	2370	1259	1868
CEP120	1451	1072	1650
CSNK1G3	17960	13016	7136
ZNF608	957	881	1014
GRAMD3	723	647	341
ALDH7A1	2041	2428	2605
PHAX	1069	2606	1556
TEX43	1211	1492	626
LMNB1	19	26	6
MARCH3	2691	1818	3097
C5orf63	263	368	58
MEGF10	2397	4357	2324
PRRC1	23	15	11
CTXN3	256	413	416
CCDC192	9254	5474	6069
SLC12A2	1538	5328	3478
FBN2	7560	10952	9993
SLC27A6	2861	3105	2685
ISOC1	73	60	106
ADAMTS19	4688	2800	2727
KIAA1024L	1049	1998	2346
CHSY3	5379	22710	5281
HINT1	238	58	90
LYRM7	12989	8271	9187
CDC42SE2	2851	2372	1797
RAPGEF6	2535	3789	2714
CTC-432M15.3	4501	2784	6775
FNIP1	2616	5158	4392
MEIKIN	3704	4234	3282
CTB-127M13.1	1903	2119	1066
ACSL6	3255	4408	2924
IL3	1294	1543	2390
CSF2	3070	1910	2950
P4HA2	7367	5569	13779
PDLIM4	3815	9453	4981
SLC22A4	14821	6527	5715
SLC22A5	1287	2360	1012
C5orf56	4600	7872	6508
IRF1	1219	868	504
IL5	1856	856	654
RAD50	6647	2817	6688
IL13	3378	4360	4768
IL4	895	1389	1299
KIF3A	1340	962	1623
CCNI2	2322	1508	3738
SEPT8	368	1020	705
SOWAHA	4350	3777	3873
SHROOM1	6376	4422	4411
GDF9	2295	1026	2037
UQCRQ	4390	3858	2547
LEAP2	726	756	748
AFF4	6698	4970	7992
ZCCHC10	684	843	1152
HSPA4	8130	3472	7585
FSTL4	10025	8071	8294
C5orf15	426	1436	2301
VDAC1	987	467	403
TCF7	2147	1574	782
SKP1	762	201	751
CTD-2410N18.5	6186	8497	3557
PPP2CA	17458	9951	3567
CDKL3	1903	1673	833
UBE2B	4610	10100	5991
CDKN2AIPNL	703	1422	495
JADE2	2739	2415	1454
SAR1B	270	510	397
SEC24A	41	19	45
CAMLG	3850	3623	4928
DDX46	2517	996	1047
C5orf24	11401	7941	9760
TXNDC15	4068	5403	1775
PCBD2	2632	819	1067
CATSPER3	1991	1832	2591
PITX1	44	19	30
H2AFY	618	498	233
DCANP1	2119	2515	2615
TIFAB	1739	1582	1984
NEUROG1	3172	3473	6119
CXCL14	1042	5233	3900
RP11-119J18.1	5156	8617	3277
SLC25A48	72	25	86
IL9	7641	11094	17315
LECT2	3092	3925	989
TGFBI	2512	1961	1821
SMAD5	792	259	1072
AC009014.3	10216	6298	12781
TRPC7	7802	8437	5943
SPOCK1	2146	4984	3391
KLHL3	2506	703	1343
HNRNPA0	5122	6545	9445
MYOT	465	385	848
PKD2L2	3971	3302	2651
FAM13B	11103	8625	15197
WNT8A	606	341	1335
NME5	2841	3425	2010
BRD8	1108	773	619
KIF20A	11713	2536	3716
CDC23	1636	947	2025
GFRA3	2662	11794	7526
CDC25C	1941	917	1289
FAM53C	2161	2917	2905
KDM3B	65	75	147
REEP2	21567	14055	5921
EGR1	616	384	289
ETF1	138	136	235
HSPA9	2616	1077	1100
CTNNA1	1357	3672	1718
LRRTM2	412	248	568
SIL1	1490	1548	1049
MATR3	1867	3080	1447
PAIP2	4270	8434	4575
SLC23A1	2335	2993	4381
MZB1	890	193	784
PROB1	2262	2090	3518
SPATA24	11292	13492	4510
DNAJC18	864	754	526
ECSCR	772	577	819
AC138517.6	523	320	1561
TMEM173	376	728	291
UBE2D2	3826	4041	6955
CXXC5	228	90	194
PSD2	3092	3016	3111
NRG2	8376	7379	14963
PURA	823	755	943
IGIP	3197	1768	3861
CYSTM1	529	804	472
PFDN1	350	459	599
AC011380.1	32	38	49
HBEGF	5032	4125	2700
SLC4A9	4399	3488	1876
ANKHD1	9870	14307	4985
ANKHD1-EIF4EBP3	3	0	2
SRA1	1514	1448	1780
EIF4EBP3	1723	1939	627
APBB3	3739	4523	6706
SLC35A4	2773	1923	3448
CD14	8	1	3
NDUFA2	209	240	374
TMCO6	1034	2005	1659
IK	1059	555	1201
WDR55	1391	3920	3021
DND1	6504	6200	6964
HARS	1448	1890	4614
HARS2	367	497	702
ZMAT2	2627	2474	3396
PCDHA1	86	211	210
PCDHA2	476	327	670
PCDHA3	801	751	1197
PCDHA4	549	689	1711
PCDHA5	2158	1927	2522
PCDHA6	153	226	191
PCDHA7	1846	2820	864
PCDHA8	9714	5108	2544
PCDHA9	323	415	247
PCDHA10	1465	1822	1890
PCDHA11	325	248	244
PCDHA12	1121	778	1385
PCDHA13	5849	7504	4751
PCDHAC1	2500	1962	2215
PCDHAC2	2375	2344	789
PCDHB1	2575	3391	1504
PCDHB2	588	358	271
PCDHB3	3500	7076	7633
PCDHB4	2597	1129	1894
PCDHB5	3148	3106	4891
PCDHB6	2960	3108	2419
PCDHB7	3279	4667	3269
PCDHB8	224	416	189
PCDHB16	2103	3831	3354
CH17-140K24.5	2834	2497	2388
PCDHB9	206	177	234
PCDHB10	2064	1016	1415
PCDHB11	4667	3655	4319
PCDHB12	6942	4560	4222
PCDHB13	10544	13127	13953
PCDHB14	345	209	712
CH17-140K24.8	4874	5528	8601
PCDHB15	2611	2199	6334
TAF7	4803	10630	13942
SLC25A2	4645	2307	1839
PCDHGA1	1496	2314	3881
PCDHGA2	1903	1514	1890
PCDHGA3	10774	10444	8486
PCDHGB1	4867	2045	2214
PCDHGA4	15320	8482	9666
PCDHGB2	2082	5272	3413
PCDHGA5	297	813	352
PCDHGB3	1620	703	1960
PCDHGA6	3187	2878	3234
PCDHGA7	436	399	548
PCDHGB4	3350	1858	5199
PCDHGA8	2094	1528	1533
PCDHGB5	6489	6402	14622
PCDHGA9	442	913	828
PCDHGB6	930	959	781
PCDHGA10	8455	5764	8195
PCDHGB7	318	971	1167
PCDHGA11	1883	2531	1782
PCDHGA12	2105	711	1072
PCDHGC3	332	817	527
PCDHGC4	124	168	374
PCDHGC5	500	160	248
DIAPH1	10280	11652	7978
HDAC3	369	591	200
RELL2	1884	1173	1007
FCHSD1	482	642	500
ARAP3	595	525	933
PCDH1	2275	3006	2811
KIAA0141	88	40	56
PCDH12	475	922	476
RNF14	3183	1116	3029
GNPDA1	10516	4329	7890
NDFIP1	2898	5404	5847
SPRY4	3978	2151	2474
FGF1	1096	899	1202
ARHGAP26	418	383	105
NR3C1	3497	6538	1996
HMHB1	730	1041	1546
YIPF5	119	203	147
KCTD16	3977	1737	4001
PRELID2	1455	599	1878
GRXCR2	626	293	531
SH3RF2	529	286	401
PLAC8L1	2345	2083	4919
LARS	1217	1246	821
RP11-449H3.3	843	690	1156
RBM27	4018	2383	3381
POU4F3	3104	3770	5662
TCERG1	1945	2403	2621
GPR151	1260	1017	1669
PPP2R2B	4935	7175	4326
STK32A	73	18	41
DPYSL3	13313	5855	21232
JAKMIP2	265	418	624
SPINK1	718	633	722
SCGB3A2	2623	1691	1053
C5orf46	1433	1734	2365
SPINK5	737	803	894
SPINK14	99	164	161
SPINK6	15470	32700	41994
CTC-295J13.3	4377	3259	2472
SPINK13	5435	5918	2580
SPINK7	2029	1429	2958
SPINK9	4327	5792	2141
FBXO38	8368	1846	6221
HTR4	3546	10731	6038
ADRB2	1197	749	525
SH3TC2	3774	3874	6175
ABLIM3	2824	3371	4429
AFAP1L1	352	488	561
GRPEL2	1203	1722	3010
PCYOX1L	17421	14360	9281
IL17B	9781	5107	3625
CSNK1A1	866	1330	2179
ARHGEF37	2996	2070	2897
PPARGC1B	5896	7755	9211
PDE6A	1313	2190	1096
SLC26A2	611	605	1662
TIGD6	3291	3529	3779
HMGXB3	537	755	289
CSF1R	701	605	738
PDGFRB	310	570	476
CDX1	126	235	248
SLC6A7	3961	2745	2058
CAMK2A	5092	4195	6370
ARSI	2119	981	2661
TCOF1	533	825	577
CD74	10580	10068	7241
RPS14	379	1487	945
NDST1	1781	1389	1420
SYNPO	1163	283	328
MYOZ3	1942	5222	3300
RBM22	1715	2296	2171
DCTN4	10091	7407	6674
SMIM3	634	529	438
IRGM	4431	5453	2371
ZNF300	12940	9860	12342
AC008641.1	55	58	121
GPX3	7387	4052	10610
TNIP1	15394	15934	26131
ANXA6	863	448	1288
CCDC69	1621	2127	684
GM2A	2431	2811	3290
SLC36A3	321	117	215
SLC36A2	9137	7663	12503
SLC36A1	4662	2806	3307
FAT2	2014	2871	1704
SPARC	3117	5286	3137
ATOX1	3093	5533	4796
G3BP1	229	127	152
GLRA1	741	736	1311
NMUR2	5145	857	4358
GRIA1	1919	610	2221
FAM114A2	202	96	158
MFAP3	2566	2015	1692
GALNT10	1106	614	940
SAP30L	163	269	297
HAND1	2206	2342	3299
LARP1	532	803	1552
FAXDC2	877	1378	1041
CNOT8	1055	1136	2373
GEMIN5	22963	8094	32704
MRPL22	20	29	17
KIF4B	2896	3737	2172
SGCD	1056	2227	2289
AC016577.1	6184	3165	6970
PPP1R2P3	4701	5377	2182
TIMD4	1506	2085	2422
HAVCR1	3658	1627	2560
HAVCR2	784	1141	686
MED7	2255	1009	2969
ITK	98	65	74
FAM71B	4457	5232	2539
CYFIP2	1060	830	1465
FNDC9	521	1050	592
ADAM19	14563	6890	11332
NIPAL4	7643	7091	10219
SOX30	12483	2149	9574
C5orf52	67	51	49
THG1L	6343	3764	8562
LSM11	1153	2785	1584
CLINT1	321	379	351
EBF1	4153	3305	4251
RNF145	2263	6941	8017
UBLCP1	4906	4758	3115
IL12B	962	405	505
ADRA1B	4197	1725	2351
TTC1	454	286	337
PWWP2A	10769	6606	11320
FABP6	1462	1967	5883
CCNJL	522	1723	1487
C1QTNF2	55	41	36
ZBED8	6858	3345	12362
SLU7	3003	4301	1970
PTTG1	1966	762	970
ATP10B	97	189	231
GABRB2	356	256	894
GABRA6	3068	1634	2361
GABRA1	765	1780	643
GABRG2	671	1273	696
CCNG1	1877	1413	317
NUDCD2	1379	943	1528
HMMR	5769	2361	2720
MAT2B	2413	4205	2158
TENM2	150	190	216
WWC1	27	50	66
RARS	3966	3687	4490
FBLL1	914	1172	1363
PANK3	3304	5394	5671
SLIT3	1129	481	800
SPDL1	6657	8133	5298
DOCK2	1664	1368	2533
FAM196B	1125	858	1525
FOXI1	1509	884	1448
C5orf58	7524	11915	13855
LCP2	3	15	15
KCNIP1	1759	2273	4225
KCNMB1	3288	1540	2171
GABRP	764	887	2689
RANBP17	1276	1874	3913
RP11-546B8.6	2987	2388	2360
TLX3	2055	2270	2178
NPM1	7668	4423	3383
FGF18	1447	923	2502
SMIM23	3503	3727	2507
FBXW11	4843	3410	1903
STK10	4432	6860	5367
EFCAB9	457	851	297
UBTD2	642	849	869
SH3PXD2B	7240	1455	2398
NEURL1B	10024	18207	8059
DUSP1	2214	1415	2930
ERGIC1	5521	2174	5318
RPL26L1	296	870	414
ATP6V0E1	3838	5150	7148
CREBRF	10857	18879	6690
BNIP1	6681	3101	4406
NKX2-5	2377	1997	1721
STC2	54	105	205
BOD1	428	164	297
CPEB4	1527	2408	3862
C5orf47	85	73	143
HMP19	4779	2959	3826
MSX2	8290	4398	3492
DRD1	2359	1393	4087
SFXN1	1952	536	1341
HRH2	1859	1387	2962
CPLX2	29	76	54
THOC3	3312	7405	7075
FAM153B	963	1303	2174
SIMC1	8421	8802	4488
KIAA1191	3254	4755	1858
ARL10	4934	12482	5053
NOP16	2540	8394	10457
HIGD2A	381	551	392
CLTB	3385	4573	3884
FAF2	655	258	137
RNF44	885	1856	841
CDHR2	884	1335	1327
GPRIN1	7684	8813	7182
SNCB	1610	781	1067
EIF4E1B	5523	5457	5967
TSPAN17	6302	6956	11147
UNC5A	4853	2037	2912
HK3	1383	731	606
UIMC1	3202	3588	1248
ZNF346	8183	7533	9334
FGFR4	2543	1481	2710
NSD1	1278	872	604
RAB24	344	266	264
MXD3	1221	893	683
PRELID1	3376	3774	6030
LMAN2	8156	7552	5286
RGS14	1099	568	639
SLC34A1	3527	4536	6875
PFN3	1392	1540	1907
F12	1528	2632	2103
GRK6	1594	3344	1691
PRR7	973	360	977
DBN1	1479	2688	2087
PDLIM7	271	166	163
DOK3	525	734	454
DDX41	973	1095	1197
FAM193B	348	196	419
TMED9	3630	4302	2300
B4GALT7	1371	3205	958
FAM153A	10144	4308	3714
PROP1	1088	1247	1899
FAM153C	27	90	61
N4BP3	2541	1446	2536
RMND5B	387	1877	1605
NHP2	1059	1452	1483
HNRNPAB	523	376	129
PHYKPL	2052	1339	3076
COL23A1	5007	3989	3370
CLK4	214	378	225
ZNF354A	4726	5420	6666
ZNF354B	728	749	560
ZFP2	503	953	304
ZNF454	110	127	86
GRM6	3796	4842	4812
ZNF879	11172	5965	6332
ZNF354C	1512	2431	1378
ADAMTS2	8496	13026	11443
RUFY1	4283	4666	4768
HNRNPH1	1703	1468	1474
CBY3	538	78	456
CANX	241	287	290
MAML1	99	174	158
LTC4S	2349	2513	1974
MGAT4B	271	651	387
SQSTM1	663	821	404
C5orf45	1874	1582	1922
TBC1D9B	333	361	366
RNF130	973	729	761
RASGEF1C	15201	13784	4080
MAPK9	2353	3919	2973
GFPT2	1977	3232	994
CNOT6	17	43	24
SCGB3A1	907	1558	1348
FLT4	594	477	457
OR2Y1	2644	1921	5000
MGAT1	6509	3865	1911
ZFP62	5682	1333	2154
BTNL8	4912	5351	3587
BTNL3	932	1641	830
BTNL9	19698	7867	22776
OR2V1	8	12	11
OR2V2	2012	1192	1120
TRIM7	1437	2785	2406
TRIM41	366	344	398
RACK1	7762	4006	6841
TRIM52	754	408	1076
OR4F3	15222	9948	5852
DUSP22	10304	11403	6045
IRF4	2044	2837	5026
EXOC2	1077	950	1351
HUS1B	3665	3267	3760
FOXQ1	3323	1571	3034
